,Project ID,Drive Time,Tilt,Tilt2,Azimuth,Azimuth2,Azimuth3,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,Reinforcements,Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,Portrait / Landscape,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,Estimated Total # of People on Site
249,326,15,33,,290,200,,36,16.56,2,0,1,1,0,0,0,8,68,47.4,50,7,0,0,0,2,2,2,94,3,4,1,23.5,117.5,5
250,327,41,26,,90,,,22,8.8,2,0,1,1,0,0,0,0,74.8,40.9,48,3,0,0,0,0,2,2,42.5,1,5,0,0,42.5,5
251,328,7,22,,91,181,,9,4.14,2,0,1,0,1,1,1,0,68,47.4,50,1,9,0,0,2,1,2,39.25,1,5,0,0,39.25,5
252,329,20,40,,179,,,8,3.36,2,0,1,1,1,1,1,3,73.4,40.9,47.8,1,21,0,7,0,1,2,48,1,5,0,0,48,5
253,330,25,25,,89,269,,21,8.4,2,0,1,1,0,0,1,0,74.8,40.9,48,2,0,0,0,0,2,2,40.75,1,5,0,0,40.75,5
254,331,24,19,17,180,,,36,16.56,2,0,1,1,0,0,1,8,68,47.4,50,3,0,0,0,1,2,2,94.25,4,5,0,0,94.25,5
255,332,20,18.4,,180,,,10,4.25,2,0,1,0,1,1,1,3,67.8,44.6,46.7,1,4,0,7,0,1,2,32.75,1,4,0,0,32.75,4
256,333,14,27,,94,184,,23,9.2,2,0,1,1,0,0,0,0,74.8,40.9,48,2,0,0,0,0,1,2,40.75,1,5,0,0,40.75,5
257,334,23,20,,180,,,16,7.36,2,0,1,1,1,0,1,0,68,47.4,50,1,0,0,0,1,1,2,43.25,2,5,0,0,43.25,5
258,335,22,34,,227,,,18,7.2,2,0,1,1,1,1,1,8,74.8,40.9,48,1,15,0,7,0,2,2,38.5,1,4,0,0,38.5,4
259,336,31,27,,102,282,,23,9.2,2,0,1,1,0,0,0,0,74.8,40.9,48,2,0,0,0,0,2,2,37.25,2,4,0,0,37.25,4
260,337,22,18,,258,78,,18,7.2,2,0,1,1,1,1,1,0,74.8,40.9,48,2,6,0,0,0,1,2,38,1,5,0,0,38,5
261,338,40,39,,179,,,14,5.74,2,0,1,0,1,0,0,0,69.37,44.65,47,1,0,0,0,2,1,2,40.75,1,5,0,0,40.75,5
262,339,47,18.4,,182,,,21,8.4,2,0,0,0,,0,0,1,74.8,40.9,48,1,0,2,3,1,1,2,45,2,5,0,0,45,5
263,340,19,18.4,,181,,,26,10.4,2,0,1,1,0,0,0,0,74.8,40.9,48,2,0,0,0,2,2,2,27.25,1,4,0,0,27.25,4
264,341,31,33,,165,,,25,10,2,0,1,1,0,0,0,0,74.8,40.9,48,1,0,0,0,2,1,2,45.75,1,5,0,0,45.75,5
265,342,28,18.4,,180,,,18,7.2,2,0,1,1,0,0,0,4,74.8,40.9,48,1,0,0,0,0,0,3,36,1,5,0,0,36,5
266,343,25,26,,179,,,8,3.2,2,0,0,1,0,0,1,0,74.8,40.9,48,1,0,1,2,0,2,3,38.5,1,5,0,0,38.5,5
